id,name,receptor,receptor_highlight,receptor_desc,adhesion,other,other_desc,transporter,secreted_highlight,secreted_desc
3881,Q2M385,False,False,,False,False,,False,False,
3882,O60487,False,False,,True,False,,False,False,
3883,Q6UWV2,False,False,,True,False,,False,False,
3884,Q9UBG0,True,False,,False,False,,False,False,
3885,Q96PG2,True,False,,False,False,,False,False,
3886,Q9NXJ0,True,False,,False,False,,False,False,
3887,Q96JA4,True,False,,False,False,,False,False,
3888,Q8N5U1,True,False,,False,False,,False,False,
3890,Q96HJ5,True,False,,False,False,,False,False,
3891,Q96JQ5,True,False,,False,False,,False,False,
3892,Q96PG1,True,False,,False,False,,False,False,
3893,Q9H3V2,True,False,,False,False,,False,False,
3894,Q9H2W1,True,False,,False,False,,False,False,
3895,Q96DS6,True,False,,False,False,,False,False,
3896,Q9GZW8,True,False,,False,False,,False,False,
3897,Q9BY19,True,False,,False,False,,False,False,
3898,Q96KJ4,False,False,,True,False,,False,False,
3899,P21757,True,False,,False,False,,False,False,
3900,Q04912,True,False,,False,False,,False,False,
3901,Q9BRK3,False,False,,False,False,,False,False,
3902,Q8NC67,True,False,,False,False,,False,False,
3903,P08138,True,True,TNF_receptor_add,False,False,,False,False,
3904,Q92982,False,False,,True,False,,False,False,
3905,Q9NZG7,False,False,,True,False,,False,False,
3906,O15118,True,False,,False,False,,False,False,
3907,P16066,True,False,,False,False,,False,False,
3908,P17342,True,False,,False,False,,False,False,
3909,P58401,False,False,,True,False,,False,False,
3910,Q9P2S2,False,False,,True,False,,False,False,
3911,Q9Y4C0,False,False,,True,False,,False,False,
3912,Q9HDB5,False,False,,False,False,,False,False,
3913,Q16288,True,False,,False,False,,False,False,
3916,P51575,True,False,,False,False,,False,False,
3917,P56373,True,False,,False,False,,False,False,
3918,Q99571,True,False,,False,False,,False,False,
3919,Q93086,True,False,,False,False,,False,False,
3920,O15547,True,False,,False,False,,False,False,
3921,Q8N4S7,True,False,,False,False,,False,False,
3922,Q9NXK6,True,False,,False,False,,False,False,
3923,Q6TCH4,True,False,,False,False,,False,False,
3924,Q6ZVX9,True,False,,False,False,,False,False,
3925,Q9NRJ7,False,False,,True,False,,False,False,
3926,Q15116,False,False,,False,True,Ligand,False,False,
3927,O00264,True,False,,False,False,,False,False,
3928,O15173,True,False,,False,False,,False,False,
3929,Q9UKJ0,True,False,,False,False,,False,False,
3930,Q86WI1,True,False,,False,False,,False,False,
3931,Q9NZ53,False,False,,True,False,,False,False,
3932,Q9UNN8,True,False,,False,False,,False,False,
3933,Q2VWP7,False,False,,False,False,,False,False,
3934,Q13635,True,False,,False,False,,False,False,
3935,Q9Y6C5,True,False,,False,False,,False,False,
3936,Q6ISU1,True,False,,False,False,,False,False,
3937,Q9P2B2,False,False,,False,True,Regulation,False,False,
3938,Q13308,True,False,,True,True,Migration,False,False,
3939,P23468,True,False,,False,False,,False,False,
3940,P10586,True,False,,True,True,Migration,False,False,
3941,P28827,True,False,,True,False,,False,False,
3942,Q16827,True,False,,False,False,,False,False,
3943,Q13332,True,False,,True,False,,False,False,
3944,O14522,True,False,,False,False,,False,False,
3947,Q96MS0,True,False,,False,False,,False,False,
3948,Q8WZ75,False,False,,False,False,,False,False,
3949,Q03395,False,False,,True,False,,False,False,
3950,Q01973,True,False,,False,False,,False,False,
3952,P21817,True,False,,False,False,,False,False,
